"","InvoiceID","Date","Time","Name","Gender","Age","Type","Branch","ProductLine","UnitPrice","Quantity","COGS","CustomerRating"
"1","CAR-CLO-001","3/10/2021","21:31:14","Rebbecca Stein","Female",25,"Normal","Carbon Creek","Clothing",87.67,2,170.12,7.7
"2","CAR-CLO-002","1/12/2021","8:32:31","Sonja Richard","Female",33,"Member","Carbon Creek","Clothing",20.01,9,174.55,5.7
"3","CAR-CLO-003","2/10/2021","16:51:06","Alma Blackwell","Female",39,"Member","Carbon Creek","Clothing",30.14,10,284.76,9.2
"4","CAR-CLO-004","1/29/2021","8:37:43","Todd McGill","Male",64,"Normal","Carbon Creek","Clothing",83.24,9,709.6,7.4
"5","CAR-CLO-005","2/8/2021","10:37:01","Lloyd Burt","Male",19,"Normal","Carbon Creek","Clothing",98.98,10,955.9,8.7
"6","CAR-CLO-006","1/11/2021","12:35:09","Guy Bryan","Male",55,"Normal","Carbon Creek","Clothing",89.69,1,87.36,4.9
"7","CAR-CLO-007","1/23/2021","20:21:20","Jose Phelps","Male",73,"Member","Carbon Creek","Clothing",17.94,5,85.88,6.8
"8","CAR-CLO-008","3/5/2021","17:14:05","Sheryl Hill","Female",86,"Normal","Carbon Creek","Clothing",81.91,2,156.37,7.8
"9","CAR-CLO-009","3/8/2021","11:09:41","Sherri Reynolds","Female",20,"Normal","Carbon Creek","Clothing",61.77,5,292.8,6.7
"10","CAR-CLO-010","2/3/2021","17:12:52","Gerardo McBride","Male",81,"Normal","Carbon Creek","Clothing",77.02,5,377.39,5.5
"11","CAR-CLO-011","3/19/2021","10:38:29","Blake Case","Male",74,"Normal","Carbon Creek","Clothing",76.4,9,671.17,7.5
"12","CAR-CLO-012","2/27/2021","10:04:04","Valerie Hampton","Female",40,"Normal","Carbon Creek","Clothing",77.93,9,674.23,7.6
"13","CAR-CLO-013","1/14/2021","10:38:42","Joanna McDaniel","Female",53,"Member","Carbon Creek","Clothing",96.7,5,468.58,7
"14","CAR-CLO-014","2/2/2021","20:28:02","Evan Stanton","Male",57,"Member","Carbon Creek","Clothing",43.13,10,419.05,5.5
"15","CAR-CLO-015","3/23/2021","10:03:31","Wesley Hale","Male",78,"Normal","Carbon Creek","Clothing",37.15,4,NA,8.3
"16","CAR-CLO-016","3/15/2021","19:18:53","Juanita Lynn","Female",18,"Member","Carbon Creek","Clothing",19.66,10,186.24,7.2
"17","CAR-CLO-017","1/27/2021","12:43:00","Stefanie Woodard","Female",39,"Normal","Carbon Creek","Clothing",54.28,7,371.43,9.3
"18","CAR-CLO-018","1/24/2021","20:15:57","Eugene Jackson","Male",27,"Member","Carbon Creek","Clothing",86.68,8,666.82,7.2
"19","CAR-CLO-019","2/25/2021","9:01:06","Caroline Berry","Female",52,"Normal","Carbon Creek","Clothing",73.05,4,286.11,4.9
"20","CAR-CLO-020","1/12/2021","12:04:15","Dena Shaw","Female",23,"Normal","Carbon Creek","Clothing",29.42,10,277.97,8.9
"21","CAR-CLO-021","1/1/2021","13:08:06","Janice Mann","Female",79,"Normal","Carbon Creek","Clothing",65.74,9,577.55,7.7
"22","CAR-CLO-022","2/10/2021","9:02:43","Roberta Day","Female",86,"Member","Carbon Creek","Clothing",53.65,7,367.42,5.2
"23","CAR-CLO-023","1/23/2021","20:48:04","Theodore Buchanan","Male",73,"Normal","Carbon Creek","Clothing",30.61,1,29.72,5.2
"24","CAR-CLO-024","1/26/2021","18:34:59","Heather Bruce","Female",75,"Normal","Carbon Creek","Clothing",12.09,1,11.44,8.2
"25","CAR-CLO-025","1/18/2021","13:08:24","Norma Dudley","Female",75,"Member","Carbon Creek","Clothing",88.15,3,250.19,7.9
"26","CAR-CLO-026","2/26/2021","9:13:33","Julius Gillespie","Male",36,"Member","Carbon Creek","Clothing",55.45,1,53.39,4.9
"27","CAR-CLO-027","2/4/2021","13:52:53","Jennifer Evans","Female",62,"Normal","Carbon Creek","Clothing",48.63,4,186.15,7.6
"28","CAR-CLO-028","1/14/2021","21:48:10","Ira Albright","Male",72,"Member","Carbon Creek","Clothing",56.04,10,539.55,4.4
"29","CAR-CLO-029","2/27/2021","11:44:22","Marvin Cunningham","Male",53,"Member","Carbon Creek","Clothing",21.48,2,40.77,6.6
"30","CAR-CLO-030","3/28/2021","9:04:38","Barb Ward","Female",46,"Member","Carbon Creek","Clothing",71.46,7,475.76,4.5
"31","CAR-CLO-031","2/17/2021","9:22:53","Taylor Sims","Male",21,"Normal","Carbon Creek","Clothing",45.38,3,129.19,7.2
"32","CAR-CLO-032","3/1/2021","18:51:04","Karen Dominguez","Female",62,"Member","Carbon Creek","Clothing",22.32,4,85.38,4.4
"33","CAR-CLO-033","2/8/2021","18:04:44","Emmanuel Emerson","Male",43,"Member","Carbon Creek","Clothing",19.7,1,18.91,9.5
"34","CAR-CLO-034","3/9/2021","16:31:53","Kay Vazquez","Female",82,"Normal","Carbon Creek","Clothing",97.29,8,751.32,6.2
"35","CAR-CLO-035","1/20/2021","20:06:41","Sandi Parsons","Female",70,"Member","Carbon Creek","Clothing",63.88,8,494.65,9.9
"36","CAR-CLO-036","2/5/2021","11:52:24","Shelia Barnett","Female",43,"Member","Carbon Creek","Clothing",30.62,1,29.05,4.1
"37","CAR-CLO-037","3/3/2021","12:39:45","Lucas Lindsey","Male",27,"Normal","Carbon Creek","Clothing",46.41,1,44.83,4
"38","CAR-CLO-038","3/4/2021","12:20:11","Naomi Sellers","Female",55,"Member","Carbon Creek","Clothing",48.96,9,423.18,8
"39","CAR-CLO-039","3/26/2021","8:09:43","Norman Smith","Male",44,"Member","Carbon Creek","Clothing",41.28,3,119.34,8.5
"40","CAR-CLO-040","3/26/2021","16:10:31","Roberto McKay","Male",52,"Normal","Carbon Creek","Clothing",52.38,1,50.56,5.8
"41","CAR-CLO-041","1/9/2021","20:46:08","Julio Kim","Male",23,"Member","Carbon Creek","Clothing",38.54,5,188.03,5.6
"42","CAR-CLO-042","2/15/2021","18:06:41","Luther Barry","Male",19,"Normal","Carbon Creek","Clothing",51.94,3,151.79,7.9
"43","CAR-CLO-043","1/26/2021","12:01:31","Keith Holder","Male",65,"Normal","Carbon Creek","Clothing",21.32,1,20.57,5.9
"44","CAR-CLO-044","1/19/2021","18:27:22","Ginger Holmes","Female",23,"Normal","Carbon Creek","Clothing",99.1,6,571.03,4.2
"45","CAR-CLO-045","1/25/2021","18:45:37","Greg Gould","Male",82,"Normal","Carbon Creek","Clothing",74.1,1,71.47,9.2
"46","CAR-CLO-046","2/19/2021","9:27:40","Jeannette Montoya","Female",71,"Normal","Carbon Creek","Clothing",98.48,2,187.28,9.2
"47","CAR-CLO-047","1/31/2021","9:09:45","Erick Ayers","Male",21,"Member","Carbon Creek","Clothing",51.34,8,391.43,7.6
"48","CAR-CLO-048","3/11/2021","12:05:27","Lourdes Briggs","Female",29,"Normal","Carbon Creek","Clothing",94.67,4,362.72,6.8
"49","CAR-CLO-049","1/6/2021","19:05:11","Joni Bowman","Female",31,"Normal","Carbon Creek","Clothing",42.57,7,286.23,6.8
"50","CAR-CLO-050","3/19/2021","13:23:22","Alice Kline","Female",68,"Normal","Carbon Creek","Clothing",15.5,1,15.09,7.4
"51","CAR-CLO-051","2/18/2021","14:16:08","Lucinda Kellogg","Female",59,"Member","Carbon Creek","Clothing",88.34,7,594.5,6.6
"52","CAR-ELE-001","2/25/2021","21:52:13","Patty Miner","Female",25,"Member","Carbon Creek","Electronics",68.84,6,395.42,5.8
"53","CAR-ELE-002","2/12/2021","19:07:51","Lorraine Best","Female",79,"Normal","Carbon Creek","Electronics",46.95,5,225.46,7.1
"54","CAR-ELE-003","2/17/2021","20:56:23","Mathew Shelton","Male",66,"Normal","Carbon Creek","Electronics",34.56,5,167.57,9.9
"55","CAR-ELE-004","1/15/2021","13:43:13","Abigail Lucas","Female",64,"Normal","Carbon Creek","Electronics",60.88,9,528.02,4.7
"56","CAR-ELE-005","3/8/2021","18:36:15","Simon Holcomb","Male",38,"Normal","Carbon Creek","Electronics",97.16,1,92.68,7.2
"57","CAR-ELE-006","1/12/2021","8:03:59","Lee Ingram","Male",44,"Member","Carbon Creek","Electronics",88.67,10,847.41,7.3
"58","CAR-ELE-007","2/14/2021","16:54:17","Robyn Conner","Female",32,"Normal","Carbon Creek","Electronics",99.56,8,777.04,5.2
"59","CAR-ELE-008","1/18/2021","8:09:28","Paige Hinton","Female",69,"Normal","Carbon Creek","Electronics",26.31,5,128.38,8.8
"60","CAR-ELE-009","3/19/2021","21:23:18","Alexander Porter","Male",24,"Normal","Carbon Creek","Electronics",32.71,5,159.26,9.9
"61","CAR-ELE-010","1/25/2021","18:08:43","Gilberto Bates","Male",34,"Normal","Carbon Creek","Electronics",26.23,9,226.32,5.9
"62","CAR-ELE-011","2/21/2021","9:44:18","Renee Gibson","Female",75,"Member","Carbon Creek","Electronics",94.64,3,269.76,5.5
"63","CAR-ELE-012","1/7/2021","18:40:46","Donnie Anderson","Male",77,"Member","Carbon Creek","Electronics",77.72,4,296.12,8.8
"64","CAR-ELE-013","1/31/2021","9:52:48","Stan Beasley","Male",48,"Member","Carbon Creek","Electronics",66.35,1,64.76,9.7
"65","CAR-ELE-014","2/13/2021","18:06:52","Darryl Nunez","Male",85,"Member","Carbon Creek","Electronics",32.25,4,122.95,6.5
"66","CAR-ELE-015","3/19/2021","19:20:49","Guadalupe Garner","Female",32,"Normal","Carbon Creek","Electronics",75.06,9,642.37,6.2
"67","CAR-ELE-016","2/18/2021","10:50:59","Meredith Schroeder","Female",90,"Member","Carbon Creek","Electronics",62.48,1,60.43,4.7
"68","CAR-ELE-017","3/18/2021","13:45:26","Amber Skinner","Female",19,"Normal","Carbon Creek","Electronics",51.19,4,196.56,4.7
"69","CAR-ELE-018","3/26/2021","19:35:25","Dennis Griffith","Male",67,"Member","Carbon Creek","Electronics",72.2,7,489.28,4.3
"70","CAR-ELE-019","3/21/2021","10:40:11","Danielle Macias","Female",44,"Member","Carbon Creek","Electronics",26.48,3,77.62,4.7
"71","CAR-ELE-020","3/25/2021","16:32:12","Tomas Gilbert","Male",60,"Member","Carbon Creek","Electronics",36.36,4,141.32,7.6
"72","CAR-ELE-021","3/21/2021","13:48:07","Andrea Clark","Female",19,"Member","Carbon Creek","Electronics",28.45,5,136.99,9.1
"73","CAR-ELE-022","2/4/2021","14:05:52","Jim Gill","Male",43,"Member","Carbon Creek","Electronics",71.95,1,68.08,7.3
"74","CAR-ELE-023","3/28/2021","10:20:49","Marty Lyon","Male",56,"Normal","Carbon Creek","Electronics",26.02,7,174.5,5.1
"75","CAR-ELE-024","1/26/2021","11:46:44","Vince Starr","Male",89,"Normal","Carbon Creek","Electronics",51.69,7,344.34,5.5
"76","CAR-ELE-025","3/6/2021","12:25:09","Jerry John","Male",26,"Member","Carbon Creek","Electronics",21.5,9,188.81,7.8
"77","CAR-ELE-026","2/13/2021","16:34:56","Abel Rose","Male",18,"Member","Carbon Creek","Electronics",76.82,1,73.5,7.2
"78","CAR-ELE-027","2/4/2021","12:55:08","Sara Cordova","Female",27,"Member","Carbon Creek","Electronics",25.22,7,168.62,8.2
"79","CAR-ELE-028","1/13/2021","13:43:53","Louise Cooley","Female",36,"Normal","Carbon Creek","Electronics",23.46,6,136.72,6.4
"80","CAR-ELE-029","1/31/2021","8:16:21","Jared Maxwell","Male",68,"Member","Carbon Creek","Electronics",20.77,4,78.74,4.7
"81","CAR-ELE-030","3/30/2021","8:44:06","Leticia Walters","Female",39,"Member","Carbon Creek","Electronics",64.44,5,306.2,6.6
"82","CAR-ELE-031","1/29/2021","20:04:18","Bobby Dale","Male",22,"Normal","Carbon Creek","Electronics",38.6,1,37.01,6.7
"83","CAR-ELE-032","1/28/2021","16:10:34","Myron Hester","Male",26,"Member","Carbon Creek","Electronics",24.18,8,184.36,9.8
"84","CAR-ELE-033","3/14/2021","21:45:58","Joe Richmond","Male",25,"Normal","Carbon Creek","Electronics",99.55,7,661.22,7.6
"85","CAR-ELE-034","1/23/2021","16:04:44","Tanya Farmer","Female",56,"Normal","Carbon Creek","Electronics",66.06,6,374.6,7.3
"86","CAR-ELE-035","3/25/2021","10:29:31","Mark Drake","Male",34,"Member","Carbon Creek","Electronics",19.32,7,129.09,6.9
"87","CAR-ELE-036","3/20/2021","14:47:20","Daryl Crosby","Male",45,"Member","Carbon Creek","Electronics",74.51,6,433.7,5
"88","CAR-ELE-037","2/7/2021","12:49:51","Debra Yu","Female",22,"Normal","Carbon Creek","Electronics",28.96,1,28.24,6.2
"89","CAR-ELE-038","3/5/2021","13:05:26","Raul Hyde","Male",45,"Normal","Carbon Creek","Electronics",78.31,3,226.26,5.4
"90","CAR-ELE-039","3/14/2021","9:53:14","Julia Reeves","Female",43,"Normal","Carbon Creek","Electronics",15.69,3,44.46,5.8
"91","CAR-ELE-040","3/1/2021","21:11:15","Lou Oleson","Female",64,"Normal","Carbon Creek","Electronics",45.48,10,429.22,4.8
"92","CAR-ELE-041","2/19/2021","13:03:48","Craig Gross","Male",53,"Member","Carbon Creek","Electronics",69.58,9,598.9,7.8
"93","CAR-ELE-042","1/19/2021","16:05:20","Roderick Glover","Male",50,"Member","Carbon Creek","Electronics",11.94,3,34.75,8.1
"94","CAR-ELE-043","2/22/2021","19:32:31","Kathryn Campbell","Female",37,"Member","Carbon Creek","Electronics",17.42,10,170.62,7
"95","CAR-ELE-044","2/4/2021","9:36:18","Cory Hill","Male",86,"Normal","Carbon Creek","Electronics",74.58,7,499.56,9
"96","CAR-ELE-045","2/27/2021","15:22:58","Rex Cowan","Male",48,"Member","Carbon Creek","Electronics",92.6,7,632.92,9.3
"97","CAR-ELE-046","2/26/2021","20:37:09","Elaine Pike","Female",48,"Normal","Carbon Creek","Electronics",46.61,2,88.36,6.6
"98","CAR-ELE-047","1/8/2021","21:28:47","Judith Cochran","Female",79,"Normal","Carbon Creek","Electronics",50.23,4,194.84,9
"99","CAR-ELE-048","2/24/2021","21:37:58","Teresa Haines","Female",28,"Normal","Carbon Creek","Electronics",40.26,10,392.41,5
"100","CAR-ELE-049","3/22/2021","21:53:04","Douglas Abbott","Male",52,"Normal","Carbon Creek","Electronics",95.15,1,91.18,6
"101","CAR-ELE-050","1/24/2021","18:30:24","Candice Caldwell","Female",43,"Member","Carbon Creek","Electronics",48.62,8,370.3,5
"102","CAR-ELE-051","1/1/2021","21:39:02","Amanda Medina","Female",83,"Member","Carbon Creek","Electronics",74.22,10,713.95,4.3
"103","CAR-ELE-052","1/24/2021","19:37:27","Nicholas Simons","Male",30,"Normal","Carbon Creek","Electronics",10.56,8,79.96,7.6
"104","CAR-ELE-053","1/30/2021","14:13:54","Bennie Proctor","Male",84,"Member","Carbon Creek","Electronics",93.78,3,273.52,5.9
"105","CAR-ELE-054","1/27/2021","21:07:20","Blake Valencia","Male",18,"Member","Carbon Creek","Electronics",73.26,1,69.44,9.7
"106","CAR-ELE-055","1/8/2021","18:40:53","Kelsey McGrath","Female",56,"Member","Carbon Creek","Electronics",79.59,3,231.03,6.6
"107","CAR-ELE-056","3/21/2021","15:13:03","Colleen Beach","Female",64,"Normal","Carbon Creek","Electronics",90.02,8,680.66,4.5
"108","CAR-ELE-057","3/23/2021","14:33:40","Lillie Peck","Female",24,"Member","Carbon Creek","Electronics",73.47,10,698.66,9.5
"109","CAR-ELE-058","1/5/2021","11:32:01","Rose Callahan","Female",47,"Normal","Carbon Creek","Electronics",93.88,7,631.13,7.3
"110","CAR-ELE-059","2/5/2021","19:44:24","Dustin Barton","Male",22,"Member","Carbon Creek","Electronics",20.89,2,39.78,9.8
"111","CAR-ELE-060","3/10/2021","18:58:05","Derek Sharp","Male",27,"Normal","Carbon Creek","Electronics",58.03,2,NA,8.8
"112","CAR-FBV-001","2/7/2021","8:33:31","Edwin Cherry","Male",68,"Normal","Carbon Creek","Food and beverages",43.19,10,420.76,8.2
"113","CAR-FBV-002","1/21/2021","9:13:57","Julio Hurley","Male",35,"Normal","Carbon Creek","Food and beverages",54.67,3,158.23,8.6
"114","CAR-FBV-003","2/10/2021","11:55:17","Mae Higgins","Female",43,"Member","Carbon Creek","Food and beverages",44.59,5,211.81,8.5
"115","CAR-FBV-004","3/27/2021","21:05:13","Patrick Scott","Male",57,"Member","Carbon Creek","Food and beverages",49.38,7,326.53,7.3
"116","CAR-FBV-005","3/23/2021","18:03:47","Malcolm Hoover","Male",46,"Normal","Carbon Creek","Food and beverages",52.75,3,152.99,9.3
"117","CAR-FBV-006","3/28/2021","19:10:10","Adrian Schneider","Male",53,"Normal","Carbon Creek","Food and beverages",58.26,6,336.31,9.9
"118","CAR-FBV-007","2/2/2021","19:15:12","Marisa Frey","Female",36,"Normal","Carbon Creek","Food and beverages",10.96,10,107.06,6
"119","CAR-FBV-008","2/20/2021","11:19:29","Hal Kirby","Male",29,"Member","Carbon Creek","Food and beverages",92.29,5,445.41,9
"120","CAR-FBV-009","3/13/2021","21:31:44","Chris Osborne","Male",47,"Normal","Carbon Creek","Food and beverages",45.79,7,303.78,7
"121","CAR-FBV-010","1/19/2021","10:29:44","Marcus Burns","Male",35,"Normal","Carbon Creek","Food and beverages",51.28,6,291.52,6.5
"122","CAR-FBV-011","3/3/2021","13:31:30","Frederick Greer","Male",63,"Member","Carbon Creek","Food and beverages",22.17,8,169.38,9.6
"123","CAR-FBV-012","3/23/2021","11:58:19","Clifford Powers","Male",50,"Normal","Carbon Creek","Food and beverages",73.88,6,433.78,4.4
"124","CAR-FBV-013","3/20/2021","9:33:27","Stan Mueller","Male",72,"Normal","Carbon Creek","Food and beverages",43.25,2,83.86,6.2
"125","CAR-FBV-014","1/11/2021","12:13:27","Vince Doty","Male",82,"Normal","Carbon Creek","Food and beverages",24.94,9,217.48,5.6
"126","CAR-FBV-015","1/21/2021","8:06:20","Virginia Andrade","Female",54,"Member","Carbon Creek","Food and beverages",36.36,2,70.26,7.1
"127","CAR-FBV-016","2/1/2021","11:07:55","Judy Goodwin","Female",25,"Member","Carbon Creek","Food and beverages",14.23,5,67.23,4.4
"128","CAR-FBV-017","3/9/2021","13:20:18","Corey Garcia","Male",26,"Member","Carbon Creek","Food and beverages",99.78,5,474.34,5.4
"129","CAR-FBV-018","2/17/2021","12:06:35","Lonnie Watts","Male",29,"Normal","Carbon Creek","Food and beverages",32.9,3,95.96,9.1
"130","CAR-FBV-019","3/14/2021","19:09:46","Clyde Zhang","Male",47,"Member","Carbon Creek","Food and beverages",23.48,2,45.36,7.9
"131","CAR-FBV-020","2/17/2021","9:00:29","Stuart Joyce","Male",42,"Member","Carbon Creek","Food and beverages",80.96,8,612.11,7.4
"132","CAR-FBV-021","1/6/2021","11:43:07","Shelley Sheridan","Female",43,"Normal","Carbon Creek","Food and beverages",40.94,5,196.21,9.9
"133","CAR-FBV-022","3/13/2021","15:44:59","Rachael Olson","Female",32,"Normal","Carbon Creek","Food and beverages",54.27,5,257.8,4.6
"134","CAR-FBV-023","1/11/2021","16:02:07","Eric Davidson","Male",30,"Normal","Carbon Creek","Food and beverages",13.79,5,65.05,7.8
"135","CAR-FBV-024","3/16/2021","14:59:12","Faye Weiss","Female",65,"Normal","Carbon Creek","Food and beverages",63.61,5,302.89,4.8
"136","CAR-FBV-025","3/28/2021","20:54:45","Clark Atkinson","Male",31,"Member","Carbon Creek","Food and beverages",51.34,5,243.84,9.1
"137","CAR-FBV-026","1/27/2021","9:29:04","Neal Wiley","Male",71,"Normal","Carbon Creek","Food and beverages",81.71,6,463.15,8
"138","CAR-FBV-027","1/2/2021","17:55:06","Jerry Madden","Male",23,"Member","Carbon Creek","Food and beverages",41.66,6,240.97,5.6
"139","CAR-FBV-028","1/17/2021","15:47:39","Joyce Price","Female",43,"Normal","Carbon Creek","Food and beverages",81.21,10,782.54,6.3
"140","CAR-FBV-029","3/10/2021","8:41:19","Ian Harden","Male",23,"Member","Carbon Creek","Food and beverages",10.13,7,69.15,8.3
"141","CAR-FBV-030","3/27/2021","12:56:53","Muriel Wheeler","Female",81,"Normal","Carbon Creek","Food and beverages",52.34,3,152.85,9.2
"142","CAR-FBV-031","2/15/2021","10:58:17","Bret Villanueva","Male",78,"Normal","Carbon Creek","Food and beverages",52.2,3,152.47,9.5
"143","CAR-FBV-032","2/3/2021","14:57:25","Shaun Gill","Male",81,"Member","Carbon Creek","Food and beverages",67.45,10,638.55,4.2
"144","CAR-FBV-033","1/23/2021","17:40:41","Shawn Heath","Male",35,"Member","Carbon Creek","Food and beverages",98.53,6,567.19,4
"145","CAR-FBV-034","3/28/2021","14:24:42","Antoinette Moyer","Female",26,"Normal","Carbon Creek","Food and beverages",71.68,3,204.28,9.2
"146","CAR-FBV-035","3/20/2021","21:28:34","Desiree Pearson","Female",29,"Member","Carbon Creek","Food and beverages",91.61,1,86.54,9.8
"147","CAR-FBV-036","1/15/2021","14:22:37","Darryl King","Male",90,"Member","Carbon Creek","Food and beverages",83.77,2,159.72,7
"148","CAR-FBV-037","2/23/2021","12:03:41","Kara Elliott","Female",36,"Member","Carbon Creek","Food and beverages",73.47,4,285.44,6
"149","CAR-FBV-038","1/11/2021","15:00:55","Russ Mitchell","Male",38,"Member","Carbon Creek","Food and beverages",48.5,6,282.94,9.4
"150","CAR-FBV-039","2/15/2021","9:21:34","Taylor Henson","Female",83,"Normal","Carbon Creek","Food and beverages",67.1,3,193.81,7.5
"151","CAR-FBV-040","2/28/2021","10:20:13","Roy Hurd","Male",86,"Member","Carbon Creek","Food and beverages",80.62,6,461.07,9.1
"152","CAR-FBV-041","2/3/2021","10:46:18","Leanne Blake","Female",18,"Normal","Carbon Creek","Food and beverages",27.28,5,129.17,8.6
"153","CAR-FBV-042","2/27/2021","18:19:33","Lon Dolan","Male",45,"Member","Carbon Creek","Food and beverages",18.85,10,179.06,5.6
"154","CAR-FBV-043","3/25/2021","8:17:37","Silvia Michael","Female",85,"Normal","Carbon Creek","Food and beverages",55.39,4,215.42,8
"155","CAR-FBV-044","1/19/2021","12:21:01","Jan Hernandez","Male",57,"Normal","Carbon Creek","Food and beverages",33.88,8,262.59,9.6
"156","CAR-FBV-045","1/23/2021","16:49:32","Carole Ashley","Female",45,"Member","Carbon Creek","Food and beverages",47.63,9,420.26,5
